season_label,gw,player_ref,display_name,club_ref,pos_code,price,minutes_played,points,ingested_at
2025-26,6,120,Synthetic DEF 120,4,2,7.1,90,3,2025-26-ingest
2025-26,7,135,Synthetic MID 135,6,3,8.6,90,4,2025-26-ingest
2025-26,2,106,Synthetic FWD 106,1,4,7.0,90,0,2025-26-ingest
2025-26,3,121,Synthetic DEF 121,4,2,5.0,90,6,2025-26-ingest
2025-26,4,136,Synthetic FWD 136,6,4,7.0,90,0,2025-26-ingest
2025-26,6,111,Synthetic MID 111,2,3,6.6,60,5,2025-26-ingest
2025-26,7,126,Synthetic DEF 126,5,2,5.1,60,1,2025-26-ingest
2025-26,3,112,Synthetic FWD 112,2,4,7.5,15,-1,2025-26-ingest
2025-26,4,127,Synthetic DEF 127,5,2,5.5,15,1,2025-26-ingest
2025-26,6,102,Synthetic DEF 102,1,2,5.6,90,4,2025-26-ingest
2025-26,7,117,Synthetic MID 117,3,3,7.1,90,3,2025-26-ingest
2025-26,1,128,Synthetic MID 128,5,3,7.5,72,12,2025-26-ingest
2025-26,8,132,Synthetic DEF 132,6,2,5.6,90,4,2025-26-ingest
2025-26,3,103,Synthetic DEF 103,1,2,6.0,90,0,2025-26-ingest
2025-26,4,118,Synthetic FWD 118,3,4,8.0,90,6,2025-26-ingest
2025-26,5,133,Synthetic DEF 133,6,2,6.1,90,0,2025-26-ingest
2025-26,7,108,Synthetic DEF 108,2,2,6.1,15,5,2025-26-ingest
2025-26,1,119,Synthetic GK 119,4,1,6.0,0,0,2025-26-ingest
2025-26,8,123,Synthetic MID 123,4,3,7.6,15,1,2025-26-ingest
2025-26,2,134,Synthetic MID 134,6,3,8.0,0,0,2025-26-ingest
2025-26,4,109,Synthetic DEF 109,2,2,6.5,72,-1,2025-26-ingest
2025-26,5,124,Synthetic FWD 124,4,4,8.6,72,1,2025-26-ingest
2025-26,1,110,Synthetic MID 110,2,3,8.5,90,2,2025-26-ingest
2025-26,8,114,Synthetic DEF 114,3,2,6.6,90,3,2025-26-ingest
2025-26,2,125,Synthetic GK 125,5,1,6.5,90,12,2025-26-ingest
2025-26,5,115,Synthetic DEF 115,3,2,7.1,0,0,2025-26-ingest
2025-26,6,130,Synthetic FWD 130,5,4,9.1,0,0,2025-26-ingest
2025-26,1,101,Synthetic GK 101,1,1,4.5,90,9,2025-26-ingest
2025-26,8,105,Synthetic MID 105,1,3,8.6,72,5,2025-26-ingest
2025-26,2,116,Synthetic MID 116,3,3,6.5,90,8,2025-26-ingest
2025-26,3,131,Synthetic GK 131,6,1,4.5,90,9,2025-26-ingest
2025-26,5,106,Synthetic FWD 106,1,4,7.1,90,-1,2025-26-ingest
2025-26,6,121,Synthetic DEF 121,4,2,5.1,90,1,2025-26-ingest
2025-26,7,136,Synthetic FWD 136,6,4,7.1,90,-1,2025-26-ingest
2025-26,2,107,Synthetic GK 107,2,1,5.0,60,2,2025-26-ingest
2025-26,3,122,Synthetic MID 122,4,3,7.0,60,12,2025-26-ingest
2025-26,6,112,Synthetic FWD 112,2,4,7.6,90,6,2025-26-ingest
2025-26,7,127,Synthetic DEF 127,5,2,5.6,90,0,2025-26-ingest
2025-26,3,113,Synthetic GK 113,3,1,5.5,90,8,2025-26-ingest
2025-26,4,128,Synthetic MID 128,5,3,7.5,90,9,2025-26-ingest
2025-26,6,103,Synthetic DEF 103,1,2,6.1,60,-1,2025-26-ingest
2025-26,7,118,Synthetic FWD 118,3,4,8.1,60,1,2025-26-ingest
2025-26,1,129,Synthetic MID 129,5,3,8.0,90,4,2025-26-ingest
2025-26,8,133,Synthetic DEF 133,6,2,6.1,60,-1,2025-26-ingest
2025-26,3,104,Synthetic MID 104,1,3,8.0,15,2,2025-26-ingest
2025-26,4,119,Synthetic GK 119,4,1,6.0,15,12,2025-26-ingest
2025-26,5,134,Synthetic MID 134,6,3,8.1,15,2,2025-26-ingest
2025-26,7,109,Synthetic DEF 109,2,2,6.6,90,6,2025-26-ingest
2025-26,1,120,Synthetic DEF 120,4,2,7.0,72,1,2025-26-ingest
2025-26,8,124,Synthetic FWD 124,4,4,8.6,90,0,2025-26-ingest
2025-26,2,135,Synthetic MID 135,6,3,8.5,72,5,2025-26-ingest
2025-26,4,110,Synthetic MID 110,2,3,8.5,90,8,2025-26-ingest
2025-26,5,125,Synthetic GK 125,5,1,6.6,90,9,2025-26-ingest
2025-26,1,111,Synthetic MID 111,2,3,6.5,0,0,2025-26-ingest
2025-26,8,115,Synthetic DEF 115,3,2,7.1,15,1,2025-26-ingest
2025-26,2,126,Synthetic DEF 126,5,2,5.0,0,0,2025-26-ingest
2025-26,4,101,Synthetic GK 101,1,1,4.5,72,2,2025-26-ingest
2025-26,5,116,Synthetic MID 116,3,3,6.6,72,12,2025-26-ingest
2025-26,6,131,Synthetic GK 131,6,1,4.6,72,2,2025-26-ingest
2025-26,1,102,Synthetic DEF 102,1,2,5.5,90,5,2025-26-ingest
2025-26,8,106,Synthetic FWD 106,1,4,7.1,90,6,2025-26-ingest
2025-26,2,117,Synthetic MID 117,3,3,7.0,90,1,2025-26-ingest
2025-26,3,132,Synthetic DEF 132,6,2,5.5,90,5,2025-26-ingest
2025-26,5,107,Synthetic GK 107,2,1,5.1,0,0,2025-26-ingest
2025-26,6,122,Synthetic MID 122,4,3,7.1,0,0,2025-26-ingest
2025-26,2,108,Synthetic DEF 108,2,2,6.0,90,3,2025-26-ingest
2025-26,3,123,Synthetic MID 123,4,3,7.5,90,4,2025-26-ingest
2025-26,6,113,Synthetic GK 113,3,1,5.6,90,12,2025-26-ingest
2025-26,7,128,Synthetic MID 128,5,3,7.6,90,2,2025-26-ingest
2025-26,3,114,Synthetic DEF 114,3,2,6.5,60,1,2025-26-ingest
2025-26,4,129,Synthetic MID 129,5,3,8.0,60,5,2025-26-ingest
2025-26,6,104,Synthetic MID 104,1,3,8.1,90,8,2025-26-ingest
2025-26,7,119,Synthetic GK 119,4,1,6.1,90,9,2025-26-ingest
2025-26,1,130,Synthetic FWD 130,5,4,9.0,15,-1,2025-26-ingest
2025-26,8,134,Synthetic MID 134,6,3,8.1,90,8,2025-26-ingest
2025-26,3,105,Synthetic MID 105,1,3,8.5,90,3,2025-26-ingest
2025-26,4,120,Synthetic DEF 120,4,2,7.0,90,4,2025-26-ingest
2025-26,5,135,Synthetic MID 135,6,3,8.6,90,3,2025-26-ingest
2025-26,7,110,Synthetic MID 110,2,3,8.6,60,12,2025-26-ingest
2025-26,1,121,Synthetic DEF 121,4,2,5.0,90,0,2025-26-ingest
2025-26,8,125,Synthetic GK 125,5,1,6.6,60,2,2025-26-ingest
2025-26,2,136,Synthetic FWD 136,6,4,7.0,90,6,2025-26-ingest
2025-26,4,111,Synthetic MID 111,2,3,6.5,15,1,2025-26-ingest
2025-26,5,126,Synthetic DEF 126,5,2,5.1,15,5,2025-26-ingest
2025-26,7,101,Synthetic GK 101,1,1,4.6,90,8,2025-26-ingest
2025-26,1,112,Synthetic FWD 112,2,4,7.5,72,1,2025-26-ingest
2025-26,8,116,Synthetic MID 116,3,3,6.6,90,9,2025-26-ingest
2025-26,2,127,Synthetic DEF 127,5,2,5.5,72,-1,2025-26-ingest
2025-26,4,102,Synthetic DEF 102,1,2,5.5,90,3,2025-26-ingest
2025-26,5,117,Synthetic MID 117,3,3,7.1,90,4,2025-26-ingest
2025-26,6,132,Synthetic DEF 132,6,2,5.6,90,3,2025-26-ingest
2025-26,1,103,Synthetic DEF 103,1,2,6.0,0,0,2025-26-ingest
2025-26,8,107,Synthetic GK 107,2,1,5.1,15,12,2025-26-ingest
2025-26,2,118,Synthetic FWD 118,3,4,8.0,0,0,2025-26-ingest
2025-26,3,133,Synthetic DEF 133,6,2,6.0,0,0,2025-26-ingest
2025-26,5,108,Synthetic DEF 108,2,2,6.1,72,1,2025-26-ingest
2025-26,6,123,Synthetic MID 123,4,3,7.6,72,5,2025-26-ingest
2025-26,2,109,Synthetic DEF 109,2,2,6.5,90,1,2025-26-ingest
2025-26,3,124,Synthetic FWD 124,4,4,8.5,90,-1,2025-26-ingest
2025-26,6,114,Synthetic DEF 114,3,2,6.6,0,0,2025-26-ingest
2025-26,7,129,Synthetic MID 129,5,3,8.1,0,0,2025-26-ingest
2025-26,3,115,Synthetic DEF 115,3,2,7.0,90,0,2025-26-ingest
2025-26,4,130,Synthetic FWD 130,5,4,9.0,90,6,2025-26-ingest
2025-26,6,105,Synthetic MID 105,1,3,8.6,90,1,2025-26-ingest
2025-26,7,120,Synthetic DEF 120,4,2,7.1,90,5,2025-26-ingest
2025-26,1,131,Synthetic GK 131,6,1,4.5,90,8,2025-26-ingest
2025-26,8,135,Synthetic MID 135,6,3,8.6,90,1,2025-26-ingest
2025-26,3,106,Synthetic FWD 106,1,4,7.0,60,1,2025-26-ingest
2025-26,4,121,Synthetic DEF 121,4,2,5.0,60,-1,2025-26-ingest
2025-26,5,136,Synthetic FWD 136,6,4,7.1,60,1,2025-26-ingest
2025-26,7,111,Synthetic MID 111,2,3,6.6,90,4,2025-26-ingest
2025-26,1,122,Synthetic MID 122,4,3,7.0,15,2,2025-26-ingest
2025-26,8,126,Synthetic DEF 126,5,2,5.1,90,3,2025-26-ingest
2025-26,4,112,Synthetic FWD 112,2,4,7.5,90,0,2025-26-ingest
2025-26,5,127,Synthetic DEF 127,5,2,5.6,90,6,2025-26-ingest
2025-26,7,102,Synthetic DEF 102,1,2,5.6,60,1,2025-26-ingest
2025-26,1,113,Synthetic GK 113,3,1,5.5,90,9,2025-26-ingest
2025-26,8,117,Synthetic MID 117,3,3,7.1,60,5,2025-26-ingest
2025-26,2,128,Synthetic MID 128,5,3,7.5,90,8,2025-26-ingest
2025-26,4,103,Synthetic DEF 103,1,2,6.0,15,1,2025-26-ingest
2025-26,5,118,Synthetic FWD 118,3,4,8.1,15,-1,2025-26-ingest
2025-26,6,133,Synthetic DEF 133,6,2,6.1,15,1,2025-26-ingest
2025-26,1,104,Synthetic MID 104,1,3,8.0,72,12,2025-26-ingest
2025-26,8,108,Synthetic DEF 108,2,2,6.1,90,4,2025-26-ingest
2025-26,2,119,Synthetic GK 119,4,1,6.0,72,2,2025-26-ingest
2025-26,3,134,Synthetic MID 134,6,3,8.0,72,12,2025-26-ingest
2025-26,5,109,Synthetic DEF 109,2,2,6.6,90,0,2025-26-ingest
2025-26,6,124,Synthetic FWD 124,4,4,8.6,90,6,2025-26-ingest
2025-26,2,110,Synthetic MID 110,2,3,8.5,0,0,2025-26-ingest
2025-26,3,125,Synthetic GK 125,5,1,6.5,0,0,2025-26-ingest
2025-26,6,115,Synthetic DEF 115,3,2,7.1,72,-1,2025-26-ingest
2025-26,7,130,Synthetic FWD 130,5,4,9.1,72,1,2025-26-ingest
2025-26,2,101,Synthetic GK 101,1,1,4.5,90,12,2025-26-ingest
2025-26,3,116,Synthetic MID 116,3,3,6.5,90,2,2025-26-ingest
2025-26,4,131,Synthetic GK 131,6,1,4.5,90,12,2025-26-ingest
2025-26,6,106,Synthetic FWD 106,1,4,7.1,0,0,2025-26-ingest
2025-26,7,121,Synthetic DEF 121,4,2,5.1,0,0,2025-26-ingest
2025-26,1,132,Synthetic DEF 132,6,2,5.5,60,1,2025-26-ingest
2025-26,8,136,Synthetic FWD 136,6,4,7.1,0,0,2025-26-ingest
2025-26,3,107,Synthetic GK 107,2,1,5.0,90,9,2025-26-ingest
2025-26,4,122,Synthetic MID 122,4,3,7.0,90,8,2025-26-ingest
2025-26,7,112,Synthetic FWD 112,2,4,7.6,90,-1,2025-26-ingest
2025-26,1,123,Synthetic MID 123,4,3,7.5,90,3,2025-26-ingest
2025-26,8,127,Synthetic DEF 127,5,2,5.6,90,1,2025-26-ingest
2025-26,4,113,Synthetic GK 113,3,1,5.5,60,2,2025-26-ingest
2025-26,5,128,Synthetic MID 128,5,3,7.6,60,12,2025-26-ingest
2025-26,7,103,Synthetic DEF 103,1,2,6.1,90,0,2025-26-ingest
2025-26,1,114,Synthetic DEF 114,3,2,6.5,15,5,2025-26-ingest
2025-26,8,118,Synthetic FWD 118,3,4,8.1,90,6,2025-26-ingest
2025-26,2,129,Synthetic MID 129,5,3,8.0,15,1,2025-26-ingest
2025-26,4,104,Synthetic MID 104,1,3,8.0,90,9,2025-26-ingest
2025-26,5,119,Synthetic GK 119,4,1,6.1,90,8,2025-26-ingest
2025-26,6,134,Synthetic MID 134,6,3,8.1,90,9,2025-26-ingest
2025-26,1,105,Synthetic MID 105,1,3,8.5,90,4,2025-26-ingest
2025-26,8,109,Synthetic DEF 109,2,2,6.6,60,-1,2025-26-ingest
2025-26,2,120,Synthetic DEF 120,4,2,7.0,90,3,2025-26-ingest
2025-26,3,135,Synthetic MID 135,6,3,8.5,90,4,2025-26-ingest
2025-26,5,110,Synthetic MID 110,2,3,8.6,15,2,2025-26-ingest
2025-26,6,125,Synthetic GK 125,5,1,6.6,15,12,2025-26-ingest
2025-26,2,111,Synthetic MID 111,2,3,6.5,72,5,2025-26-ingest
2025-26,3,126,Synthetic DEF 126,5,2,5.0,72,1,2025-26-ingest
2025-26,5,101,Synthetic GK 101,1,1,4.6,90,9,2025-26-ingest
2025-26,6,116,Synthetic MID 116,3,3,6.6,90,8,2025-26-ingest
2025-26,7,131,Synthetic GK 131,6,1,4.6,90,9,2025-26-ingest
2025-26,2,102,Synthetic DEF 102,1,2,5.5,0,0,2025-26-ingest
2025-26,3,117,Synthetic MID 117,3,3,7.0,0,0,2025-26-ingest
2025-26,4,132,Synthetic DEF 132,6,2,5.5,0,0,2025-26-ingest
2025-26,6,107,Synthetic GK 107,2,1,5.1,72,2,2025-26-ingest
2025-26,7,122,Synthetic MID 122,4,3,7.1,72,12,2025-26-ingest
2025-26,1,133,Synthetic DEF 133,6,2,6.0,90,0,2025-26-ingest
2025-26,3,108,Synthetic DEF 108,2,2,6.0,90,5,2025-26-ingest
2025-26,4,123,Synthetic MID 123,4,3,7.5,90,1,2025-26-ingest
2025-26,7,113,Synthetic GK 113,3,1,5.6,0,0,2025-26-ingest
2025-26,1,124,Synthetic FWD 124,4,4,8.5,60,1,2025-26-ingest
2025-26,8,128,Synthetic MID 128,5,3,7.6,0,0,2025-26-ingest
2025-26,4,114,Synthetic DEF 114,3,2,6.5,90,3,2025-26-ingest
2025-26,5,129,Synthetic MID 129,5,3,8.1,90,4,2025-26-ingest
2025-26,7,104,Synthetic MID 104,1,3,8.1,90,2,2025-26-ingest
2025-26,1,115,Synthetic DEF 115,3,2,7.0,90,6,2025-26-ingest
2025-26,8,119,Synthetic GK 119,4,1,6.1,90,12,2025-26-ingest
2025-26,2,130,Synthetic FWD 130,5,4,9.0,90,0,2025-26-ingest
2025-26,4,105,Synthetic MID 105,1,3,8.5,60,5,2025-26-ingest
2025-26,5,120,Synthetic DEF 120,4,2,7.1,60,1,2025-26-ingest
2025-26,6,135,Synthetic MID 135,6,3,8.6,60,5,2025-26-ingest
2025-26,1,106,Synthetic FWD 106,1,4,7.0,15,-1,2025-26-ingest
2025-26,8,110,Synthetic MID 110,2,3,8.6,90,8,2025-26-ingest
2025-26,2,121,Synthetic DEF 121,4,2,5.0,15,1,2025-26-ingest
2025-26,3,136,Synthetic FWD 136,6,4,7.0,15,-1,2025-26-ingest
2025-26,5,111,Synthetic MID 111,2,3,6.6,90,3,2025-26-ingest
2025-26,6,126,Synthetic DEF 126,5,2,5.1,90,4,2025-26-ingest
2025-26,8,101,Synthetic GK 101,1,1,4.6,60,2,2025-26-ingest
2025-26,2,112,Synthetic FWD 112,2,4,7.5,90,6,2025-26-ingest
2025-26,3,127,Synthetic DEF 127,5,2,5.5,90,0,2025-26-ingest
2025-26,5,102,Synthetic DEF 102,1,2,5.6,15,5,2025-26-ingest
2025-26,6,117,Synthetic MID 117,3,3,7.1,15,1,2025-26-ingest
2025-26,7,132,Synthetic DEF 132,6,2,5.6,15,5,2025-26-ingest
2025-26,2,103,Synthetic DEF 103,1,2,6.0,72,-1,2025-26-ingest
2025-26,3,118,Synthetic FWD 118,3,4,8.0,72,1,2025-26-ingest
2025-26,4,133,Synthetic DEF 133,6,2,6.0,72,-1,2025-26-ingest
2025-26,6,108,Synthetic DEF 108,2,2,6.1,90,3,2025-26-ingest
2025-26,7,123,Synthetic MID 123,4,3,7.6,90,4,2025-26-ingest
2025-26,1,134,Synthetic MID 134,6,3,8.0,90,2,2025-26-ingest
2025-26,3,109,Synthetic DEF 109,2,2,6.5,0,0,2025-26-ingest
2025-26,4,124,Synthetic FWD 124,4,4,8.5,0,0,2025-26-ingest
2025-26,7,114,Synthetic DEF 114,3,2,6.6,72,1,2025-26-ingest
2025-26,1,125,Synthetic GK 125,5,1,6.5,90,9,2025-26-ingest
2025-26,8,129,Synthetic MID 129,5,3,8.1,72,5,2025-26-ingest
2025-26,4,115,Synthetic DEF 115,3,2,7.0,90,1,2025-26-ingest
2025-26,5,130,Synthetic FWD 130,5,4,9.1,90,-1,2025-26-ingest
